RXC_interaction,RXC,HCC_list_1,HCC_list_2,HCC_list_3,HCC_list_4,HCC_list_5
RXC_01_X_HCC001,RXC_01,HHS_HCC001,,,,
RXC_02_X_HCC037_1_036_035_2_035_1_034,RXC_02,HHS_HCC037_1,HHS_HCC034,HHS_HCC035_1,HHS_HCC035_2,HHS_HCC036
RXC_03_X_HCC142,RXC_03,HHS_HCC142,,,,
RXC_04_X_HCC184_183_187_188,RXC_04,HHS_HCC184,HHS_HCC183,HHS_HCC187,HHS_HCC188,
RXC_05_X_HCC048_041,RXC_05,HHS_HCC048,HHS_HCC041,,,
RXC_06_X_HCC018_019_020_021,RXC_06,HHS_HCC018,HHS_HCC019,HHS_HCC020,HHS_HCC021,
RXC_07_X_HCC018_019_020_021,RXC_07,HHS_HCC018,HHS_HCC019,HHS_HCC020,HHS_HCC021,
RXC_08_X_HCC118,RXC_08,HHS_HCC118,,,,
RXC_09_X_HCC056,RXC_09,HHS_HCC056,,,,
RXC_09_X_HCC057,RXC_09,HHS_HCC057,,,,
RXC_09_X_HCC048_041,RXC_09,HHS_HCC048,HHS_HCC041,,,
RXC_10_X_HCC159_158,RXC_10,HHS_HCC159,HHS_HCC158,,,
