severity_category,HCC_list
IHCC_SEVERITY5,HHS_HCC008
IHCC_SEVERITY5,HHS_HCC018
IHCC_SEVERITY5,HHS_HCC034
IHCC_SEVERITY5,HHS_HCC041
IHCC_SEVERITY5,HHS_HCC042
IHCC_SEVERITY5,HHS_HCC125
IHCC_SEVERITY5,HHS_HCC128
IHCC_SEVERITY5,HHS_HCC129
IHCC_SEVERITY5,HHS_HCC130
IHCC_SEVERITY5,HHS_HCC137
IHCC_SEVERITY5,HHS_HCC158
IHCC_SEVERITY5,HHS_HCC183
IHCC_SEVERITY5,HHS_HCC184
IHCC_SEVERITY5,HHS_HCC251
IHCC_SEVERITY4,HHS_HCC002
IHCC_SEVERITY4,HHS_HCC009
IHCC_SEVERITY4,HHS_HCC026
IHCC_SEVERITY4,HHS_HCC030
IHCC_SEVERITY4,HHS_HCC035_1
IHCC_SEVERITY4,HHS_HCC035_2
IHCC_SEVERITY4,HHS_HCC064
IHCC_SEVERITY4,HHS_HCC067
IHCC_SEVERITY4,HHS_HCC068
IHCC_SEVERITY4,HHS_HCC073
IHCC_SEVERITY4,HHS_HCC106
IHCC_SEVERITY4,HHS_HCC107
IHCC_SEVERITY4,HHS_HCC111
IHCC_SEVERITY4,HHS_HCC112
IHCC_SEVERITY4,HHS_HCC115
IHCC_SEVERITY4,HHS_HCC122
IHCC_SEVERITY4,HHS_HCC126
IHCC_SEVERITY4,HHS_HCC127
IHCC_SEVERITY4,HHS_HCC131
IHCC_SEVERITY4,HHS_HCC135
IHCC_SEVERITY4,HHS_HCC138
IHCC_SEVERITY4,HHS_HCC145
IHCC_SEVERITY4,HHS_HCC146
IHCC_SEVERITY4,HHS_HCC154
IHCC_SEVERITY4,HHS_HCC156
IHCC_SEVERITY4,HHS_HCC163
IHCC_SEVERITY4,HHS_HCC187
IHCC_SEVERITY4,HHS_HCC253
IHCC_SEVERITY3,HHS_HCC001
IHCC_SEVERITY3,HHS_HCC003
IHCC_SEVERITY3,HHS_HCC006
IHCC_SEVERITY3,HHS_HCC010
IHCC_SEVERITY3,HHS_HCC011
IHCC_SEVERITY3,HHS_HCC012
IHCC_SEVERITY3,HHS_HCC027
IHCC_SEVERITY3,HHS_HCC045
IHCC_SEVERITY3,HHS_HCC054
IHCC_SEVERITY3,HHS_HCC055
IHCC_SEVERITY3,HHS_HCC061
IHCC_SEVERITY3,HHS_HCC063
IHCC_SEVERITY3,HHS_HCC066
IHCC_SEVERITY3,HHS_HCC070
IHCC_SEVERITY3,HHS_HCC074
IHCC_SEVERITY3,HHS_HCC075
IHCC_SEVERITY3,HHS_HCC081
IHCC_SEVERITY3,HHS_HCC082
IHCC_SEVERITY3,HHS_HCC083
IHCC_SEVERITY3,HHS_HCC084
IHCC_SEVERITY3,HHS_HCC096
IHCC_SEVERITY3,HHS_HCC108
IHCC_SEVERITY3,HHS_HCC109
IHCC_SEVERITY3,HHS_HCC110
IHCC_SEVERITY3,HHS_HCC113
IHCC_SEVERITY3,HHS_HCC114
IHCC_SEVERITY3,HHS_HCC117
IHCC_SEVERITY3,HHS_HCC119
IHCC_SEVERITY3,HHS_HCC121
IHCC_SEVERITY3,HHS_HCC132
IHCC_SEVERITY3,HHS_HCC139
IHCC_SEVERITY3,HHS_HCC142
IHCC_SEVERITY3,HHS_HCC149
IHCC_SEVERITY3,HHS_HCC150
IHCC_SEVERITY3,HHS_HCC159
IHCC_SEVERITY3,HHS_HCC218
IHCC_SEVERITY3,HHS_HCC223
IHCC_SEVERITY3,HHS_HCC226
IHCC_SEVERITY3,HHS_HCC228
IHCC_SEVERITY2,HHS_HCC004
IHCC_SEVERITY2,HHS_HCC013
IHCC_SEVERITY2,HHS_HCC019
IHCC_SEVERITY2,HHS_HCC020
IHCC_SEVERITY2,HHS_HCC021
IHCC_SEVERITY2,HHS_HCC023
IHCC_SEVERITY2,HHS_HCC028
IHCC_SEVERITY2,HHS_HCC029
IHCC_SEVERITY2,HHS_HCC036
IHCC_SEVERITY2,HHS_HCC046
IHCC_SEVERITY2,HHS_HCC047
IHCC_SEVERITY2,HHS_HCC048
IHCC_SEVERITY2,HHS_HCC056
IHCC_SEVERITY2,HHS_HCC057
IHCC_SEVERITY2,HHS_HCC062
IHCC_SEVERITY2,HHS_HCC069
IHCC_SEVERITY2,HHS_HCC071
IHCC_SEVERITY2,HHS_HCC097
IHCC_SEVERITY2,HHS_HCC120
IHCC_SEVERITY2,HHS_HCC151
IHCC_SEVERITY2,HHS_HCC153
IHCC_SEVERITY2,HHS_HCC160
IHCC_SEVERITY2,HHS_HCC161_1
IHCC_SEVERITY2,HHS_HCC162
IHCC_SEVERITY2,HHS_HCC188
IHCC_SEVERITY2,HHS_HCC217
IHCC_SEVERITY2,HHS_HCC219
IHCC_SEVERITY1,HHS_HCC037_1
IHCC_SEVERITY1,HHS_HCC037_2
IHCC_SEVERITY1,HHS_HCC102
IHCC_SEVERITY1,HHS_HCC103
IHCC_SEVERITY1,HHS_HCC118
IHCC_SEVERITY1,HHS_HCC161_2
IHCC_SEVERITY1,HHS_HCC234
IHCC_SEVERITY1,HHS_HCC254
